timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
1312229458,0.111259185,-0.12775119,0.37328017
1312253685,0.100859165,-0.12928101,0.38366744
1312265685,0.10531632,-0.13998972,0.37328017
1312276896,0.100859165,-0.13540027,0.37476408
1312289248,0.114230625,-0.13540027,0.36882848
1312300874,0.12611638,-0.14304934,0.37328017
1312313341,0.1038306,-0.15222825,0.38069963
1312324805,0.12760209,-0.14610898,0.3658607
1312340145,0.10531632,-0.1476388,0.37921575
1312389168,0.12463066,-0.13234062,0.36882848
1312401266,0.10828775,-0.14610898,0.3658607
1312413643,0.114230625,-0.13845989,0.37179625
1312425666,0.11125919,-0.14610898,0.38069963
1312436967,0.12463066,-0.15528789,0.37773186
1312449646,0.1038306,-0.15528789,0.36882848
1312473235,0.13354495,-0.1476388,0.36882848
1312484876,0.11125919,-0.13387044,0.36734456
1312497394,0.097887725,-0.13540027,0.36882848
1312508854,0.1201735,-0.13998972,0.37624794
1312523862,0.12165922,-0.15375806,0.36882848
1312553282,0.099373445,-0.1476388,0.36734456
1312564850,0.11720206,-0.1476388,0.37179625
1312577248,0.1038306,-0.16140716,0.37179625
1312589033,0.1038306,-0.14151953,0.36882848
1312601228,0.11720206,-0.15222825,0.37476408
1312660874,0.10234488,-0.1568177,0.37624794
1312674445,0.1201735,-0.1476388,0.3599251
1312688208,0.11125919,-0.14304934,0.35398954
1312701283,0.10828775,-0.15528789,0.3658607
1312713444,0.10977347,-0.1568177,0.37328017
1312725226,0.1201735,-0.14610898,0.37179625
1312749658,0.09491629,-0.1476388,0.35398954
1312764211,0.100859165,-0.16140716,0.36882848
1312777445,0.097887725,-0.14610898,0.361409
1312788869,0.09491629,-0.14916861,0.37624794
1312801244,0.1201735,-0.15834752,0.36882848
1312825276,0.099373445,-0.15987733,0.36882848
1312836883,0.086001985,-0.15375806,0.37624794
1312865280,0.10531632,-0.1568177,0.36734456
1312877300,0.09343058,-0.16905624,0.37624794
1312900862,0.10234488,-0.1568177,0.37624794
1312913231,0.09491629,-0.15987733,0.36882848
1312941403,0.09343058,-0.17517549,0.38663524
1312953404,0.100859165,-0.15528789,0.37179625
1312968010,0.114230625,-0.1476388,0.37476408
1312980335,0.114230625,-0.15222825,0.35250562
1312996055,0.09343058,-0.16293697,0.36734456
1313008538,0.09491629,-0.15987733,0.37328017
1313021155,0.11125919,-0.16140716,0.37179625
1313057674,0.100859165,-0.18129477,0.37179625
1313069699,0.086001985,-0.16293697,0.38218355
1313093642,0.0785734,-0.16905625,0.35398954
1313116932,0.09343058,-0.16905624,0.36882848
1313129412,0.09194486,-0.17211588,0.36882848
1313153275,0.0874877,-0.17823513,0.37476408
1313164983,0.086001985,-0.16293697,0.36734456
1313177669,0.08154483,-0.17823514,0.3658607
1313189662,0.08897342,-0.17517549,0.37624794
1313205198,0.0874877,-0.1843544,0.37773186
1313233245,0.08897342,-0.17976494,0.36734456
1313245505,0.07560195,-0.1751755,0.36882848
1313257658,0.083030544,-0.16293699,0.36882848
1313269027,0.086001985,-0.16905624,0.37624794
1313356017,0.0785734,-0.16599663,0.35398954
1313369388,0.07411624,-0.16752644,0.38069963
1313381134,0.099373445,-0.15987733,0.36882848
1313393525,0.0874877,-0.17211588,0.36882848
1313405567,0.07708768,-0.15834753,0.37476408
1313433218,0.084516264,-0.1751755,0.3554734
1313444889,0.07560195,-0.1751755,0.37921575
1313457274,0.09194486,-0.16752642,0.37179625
1313481224,0.097887725,-0.1843544,0.37476408
1313505277,0.08154483,-0.17211589,0.3658607
1313517174,0.09194486,-0.17823513,0.37773186
1313533179,0.100859165,-0.17823513,0.37773186
1313545289,0.07560195,-0.15834753,0.37328017
1313557253,0.07560195,-0.16599663,0.36734456
1313569173,0.084516264,-0.18129478,0.3599251
1313593342,0.09343058,-0.17517549,0.3628929
1313620248,0.0785734,-0.16599663,0.36882848
1313635703,0.08897342,-0.17517549,0.37328017
1313649267,0.08154483,-0.1751755,0.38069963
