timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
2593475841,2593475699,0.06236199,0.0437712,-0.050577465,0.55744416,0.0,0.0,0.0,-1.0
2593519890,2593519703,0.057425085,0.04087037,-0.048921485,0.55771995,0.0,0.0,0.0,-1.0
2593563809,2593563674,0.051384225,0.039397083,-0.045845654,0.5577087,0.0,0.0,0.0,-1.0
2593603841,2593603699,0.055993162,0.037716664,-0.04442163,0.5574776,0.0,0.0,0.0,-1.0
2593647809,2593647674,0.06175516,0.038054824,-0.045594767,0.55748856,0.0,0.0,0.0,-1.0
2593687803,2593687674,0.058341615,0.032588374,-0.04348227,0.5574993,0.0,0.0,0.0,-1.0
2593731838,2593731684,0.05037953,0.030838085,-0.04280647,0.5575095,0.0,0.0,0.0,-1.0
2593771844,2593771709,0.049365018,0.02836965,-0.04397206,0.5575193,0.0,0.0,0.0,-1.0
2593815811,2593815674,0.04633683,0.026014477,-0.04022937,0.5575285,0.0,0.0,0.0,-1.0
2593855804,2593855674,0.046675242,0.027233886,-0.044030886,0.55871254,0.0,0.0,0.0,-1.0
2593899851,2593899706,0.046107028,0.031944986,-0.037813175,0.55872536,0.0,0.0,0.0,-1.0
2593943823,2593943674,0.059270162,0.02858215,-0.035955057,0.5587374,0.0,0.0,0.0,-1.0
2593987821,2593987674,0.059057705,0.028292947,-0.037394848,0.5587487,0.0,0.0,0.0,-1.0
2594027837,2594027698,0.05040904,0.027901288,-0.034212932,0.55875915,0.0,0.0,0.0,-1.0
2594071811,2594071674,0.051889747,0.025814036,-0.037689444,0.55876887,0.0,0.0,0.0,-1.0
2594111812,2594111674,0.048289742,0.025770023,-0.038527075,0.5587776,0.0,0.0,0.0,-1.0
2594155822,2594155678,0.043218173,0.027556304,-0.03625461,0.55878556,0.0,0.0,0.0,-1.0
2594199815,2594199680,0.042116676,0.029123738,-0.037356284,0.5587927,0.0,0.0,0.0,-1.0
