timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,vision_attitude_timestamp_rel,vision_position_timestamp_rel
2574506074,32767,32767,32767,32767,32767,32767,32767,32767
2574510074,32767,32767,32767,32767,32767,32767,32767,32767
2574514093,32767,32767,32767,32767,-49,-49,32767,32767
2574518074,32767,32767,32767,32767,32767,32767,32767,32767
2574522076,32767,32767,-55,32767,32767,32767,32767,32767
2574526074,32767,32767,32767,32767,32767,-54,32767,32767
2574530074,32767,32767,32767,32767,32767,32767,32767,32767
2574534074,32767,32767,32767,32767,32767,32767,32767,32767
2574542074,32767,32767,32767,32767,32767,32767,32767,32767
2574546087,32767,32767,32767,32767,32767,32767,32767,32767
2574550074,32767,32767,32767,32767,-52,-52,32767,32767
2574554125,32767,32767,32767,32767,32767,32767,32767,32767
2574558074,32767,32767,32767,32767,32767,32767,32767,32767
2574562074,32767,32767,32767,32767,32767,32767,32767,32767
2574566096,32767,32767,32767,32767,-62,-63,32767,32767
2574570079,32767,32767,32767,32767,32767,32767,32767,32767
2574574074,32767,32767,32767,32767,32767,32767,32767,32767
2574578076,32767,32767,32767,32767,32767,-50,32767,32767
2574582078,32767,32767,32767,32767,32767,32767,32767,32767
2574586079,32767,32767,32767,32767,32767,32767,32767,32767
2574590079,32767,32767,32767,32767,-54,32767,32767,32767
2574594075,32767,32767,32767,32767,32767,32767,32767,32767
2574598086,32767,32767,32767,32767,32767,32767,32767,32767
2574602074,32767,32767,32767,32767,-49,-49,32767,32767
2574606083,32767,32767,32767,32767,32767,32767,32767,32767
2574610074,32767,32767,32767,32767,32767,32767,32767,32767
2574614080,32767,32767,32767,32767,-54,-54,32767,32767
2574618074,32767,32767,32767,32767,32767,32767,32767,32767
2574622074,32767,32767,32767,32767,32767,32767,32767,32767
2574626074,32767,32767,32767,32767,32767,-50,32767,32767
2574630085,32767,32767,32767,32767,32767,32767,32767,32767
2574634074,32767,32767,32767,32767,32767,32767,32767,32767
2574638107,32767,32767,32767,32767,-55,32767,32767,32767
2574642074,32767,32767,32767,32767,32767,32767,32767,32767
2574646074,32767,32767,32767,32767,32767,32767,32767,32767
2574650074,32767,32767,32767,32767,-50,-51,32767,32767
2574654074,32767,32767,32767,32767,32767,32767,32767,32767
2574658074,32767,32767,32767,32767,32767,32767,32767,32767
2574662076,32767,32767,32767,32767,-54,-54,32767,32767
2574670074,32767,32767,32767,32767,32767,32767,32767,32767
2574674074,32767,32767,32767,32767,32767,32767,32767,32767
2574678074,32767,32767,32767,32767,32767,-64,32767,32767
2574682087,32767,32767,32767,32767,32767,32767,32767,32767
2574686074,32767,32767,32767,32767,32767,32767,32767,32767
2574690074,32767,32767,32767,32767,-49,32767,32767,32767
2574694080,32767,32767,32767,32767,32767,32767,32767,32767
2574698074,32767,32767,32767,32767,32767,32767,32767,32767
2574702108,32767,32767,32767,32767,-55,-55,32767,32767
2574706074,32767,32767,32767,32767,32767,32767,32767,32767
2574710074,32767,32767,32767,32767,32767,32767,32767,32767
2574718075,32767,32767,32767,32767,32767,32767,32767,32767
2574722111,32767,32767,32767,32767,32767,32767,32767,32767
