timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
2509661274,-0.0899258,0.046650168,-0.0062294765,4000,0,1.307898,-1.1274102,-10.165909,4000
2509665274,-0.056128155,-0.10329416,0.016201694,4000,0,0.3131307,0.0059194528,-10.049447,4000
2509669274,-0.032759845,-0.04538292,-0.005674684,4000,0,-1.6052384,-0.11344481,-9.5001545,4000
2509673274,-0.023263976,-0.040011518,-0.0143437255,4000,0,-0.86798745,-0.16090955,-8.611479,4000
2509677274,-0.043170508,-0.09781911,-0.014831827,4000,0,0.1883047,1.1270221,-10.280692,4000
2509681274,-0.056238964,-0.10105293,0.024447,4000,0,1.2144481,2.5134392,-9.754681,4000
2509685274,-0.01792516,-0.03273953,-0.01367281,4000,0,2.3157163,0.7236492,-11.805293,4000
2509689274,-0.1345766,-0.22223665,0.031260822,4000,0,2.7784615,0.7807456,-8.206735,4000
2509693274,0.05915478,-0.18880424,-0.041015893,4000,0,0.5342933,-0.6699171,-10.686706,4000
2509697274,-0.021937806,-0.18350008,-0.023071121,4000,0,-0.67919236,-1.6787422,-11.605016,4000
2509701299,-0.15004194,-0.15312958,-0.021687198,4025,0,-1.2365147,-1.628132,-7.511366,4025
2509705274,-0.0973261,-0.23017314,-0.0065300777,3975,0,-2.7993386,-0.330812,-8.484641,3975
2509709274,-0.06689428,-0.34166995,-0.046698213,4000,0,-2.1041572,1.6543863,-9.904873,4000
2509713323,-0.06959198,-0.22104904,0.039453115,4049,0,-2.280609,2.6198916,-10.502918,4049
2509717274,-0.07828319,-0.17042911,-0.05967175,3951,0,3.7837973,0.47735825,-11.951516,3951
2509721275,-0.16028185,-0.5333975,-0.04311741,4001,0,4.8392143,1.0054363,-7.545399,4001
2509725275,0.049458537,-0.29405165,-0.025622422,4000,0,1.589371,0.22241375,-10.001673,4000
2509729275,-0.090105645,-0.41442904,-0.03989548,4000,0,0.72141963,-3.8845081,-8.484551,4000
2509733274,-0.26006904,-0.43270326,-0.019190887,3999,0,-2.1844282,1.1564478,-10.470338,3999
2509737274,0.081002094,-0.36014348,-0.03830794,4000,0,-2.0467198,0.82768047,-11.55672,4000
2509741301,-0.08966332,-0.55572927,-0.061414395,4027,0,-1.8954606,-3.8453066,-9.494465,4027
2509745274,-0.31729865,-0.4456272,-0.0042234208,3973,0,-1.8431457,3.3114836,-9.708245,3973
2509749274,-0.07566541,-0.58356667,-0.05869568,4000,0,0.35869646,3.4488032,-9.046696,4000
2509765274,-0.13013053,-0.40315518,-0.024240967,3994,0,-1.5305938,0.8686045,-13.609553,3994
2509769283,-0.054020453,-0.8431153,-0.09849235,4009,0,2.1559544,-1.2180226,-6.7666974,4009
2509773274,-0.18090189,-0.53139,-0.065856434,3991,0,-4.3192453,-2.8284523,-11.224461,3991
2509777274,-0.29654056,-0.88089585,0.059323393,4000,0,0.07673817,4.5913424,-7.5876484,4000
2509781281,0.09189178,-0.52839863,-0.2016573,4007,0,-2.4208617,-2.4934819,-7.549193,4007
2509785274,-0.40270692,-0.8645617,0.09915873,3993,0,3.351395,4.7657943,-10.5683365,3993
2509789274,-0.07800334,-0.6344467,-0.15342146,4000,0,0.4797548,2.0205913,-7.5742307,4000
2509793274,-0.17315349,-0.85803765,-0.008016847,4000,0,3.512905,-1.2988424,-10.200613,4000
