timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
2601545748,113.07278,49.76,99974.21,1.187859
2601558459,112.22988,49.76,99984.22,1.1879779
2601584511,112.5681,49.76,99980.21,1.1879303
2601597810,112.22988,49.76,99984.22,1.1879779
2601609762,112.65265,49.76,99979.22,1.1879185
2601633689,112.147964,49.76,99985.22,1.1879898
2601646472,113.07278,49.76,99974.21,1.187859
2601658710,112.39899,49.76,99982.22,1.1879542
2601682685,112.5681,49.76,99980.21,1.1879303
2601694664,112.22988,49.76,99984.22,1.1879779
2601705734,112.5681,49.76,99980.21,1.1879303
2601729764,112.48354,49.76,99981.22,1.1879423
2601742210,112.48354,49.76,99981.22,1.1879423
2601753797,112.90367,49.76,99976.22,1.1878829
2601777761,112.39899,49.76,99982.22,1.1879542
2601789907,112.22988,49.76,99984.22,1.1879779
2601801867,111.8943,49.76,99988.22,1.1880255
2601825778,112.734566,49.76,99978.22,1.1879066
2601838453,112.65265,49.76,99979.22,1.1879185
2601850678,112.5681,49.76,99980.21,1.1879303
2601874661,112.48354,49.76,99981.22,1.1879423
2601887362,112.063416,49.76,99986.21,1.1880016
2601898701,112.5681,49.76,99980.21,1.1879303
2601924847,112.734566,49.76,99978.22,1.1879066
2601936502,113.23924,49.76,99972.22,1.1878353
2601949034,112.5681,49.76,99980.21,1.1879303
2601973801,112.819115,49.76,99977.22,1.1878947
2601985743,112.5681,49.76,99980.21,1.1879303
2601997781,112.48354,49.76,99981.22,1.1879423
2602021921,112.5681,49.76,99980.21,1.1879303
2602033734,112.147964,49.76,99985.22,1.1879898
2602045874,112.5681,49.76,99980.21,1.1879303
2602070315,112.734566,49.76,99978.22,1.1879066
2602081438,112.48354,49.76,99981.22,1.1879423
2602094500,112.31444,49.76,99983.22,1.187966
2602118267,112.48354,49.75,99981.23,1.1879424
2602129752,112.98558,49.75,99975.23,1.1878711
2602142229,113.3238,49.75,99971.23,1.1878235
2602166176,112.819115,49.76,99977.22,1.1878947
2602177808,112.98823,49.76,99975.22,1.187871
2602190236,111.8943,49.76,99988.22,1.1880255
2602214272,112.31444,49.76,99983.22,1.187966
2602225807,113.23924,49.76,99972.22,1.1878353
2602238228,112.734566,49.76,99978.22,1.1879066
2602262283,112.819115,49.76,99977.22,1.1878947
2602273825,113.15733,49.76,99973.21,1.1878471
2602286271,112.5681,49.76,99980.21,1.1879303
2602310323,112.90367,49.76,99976.22,1.1878829
2602321810,112.39899,49.76,99982.22,1.1879542
2602334261,112.98823,49.76,99975.22,1.187871
2602358156,113.23924,49.75,99972.23,1.1878355
2602369687,112.65001,49.75,99979.23,1.1879185
2602384455,113.57746,49.75,99968.23,1.1877879
2602409471,112.5681,49.76,99980.21,1.1879303
2602421868,113.49291,49.76,99969.22,1.1877997
2602433531,112.90367,49.76,99976.22,1.1878829
2602457754,112.98823,49.76,99975.22,1.187871
2602470264,113.07278,49.76,99974.21,1.187859
2602481827,112.22988,49.76,99984.22,1.1879779
2602505759,112.5681,49.76,99980.21,1.1879303
2602518262,112.819115,49.76,99977.22,1.1878947
2602529958,111.8943,49.76,99988.22,1.1880255
2602553778,113.07278,49.75,99974.22,1.187859
2602566017,113.3238,49.75,99971.23,1.1878235
2602577783,112.65001,49.75,99979.23,1.1879185
2602601774,112.734566,49.75,99978.23,1.1879067
2602614616,113.23924,49.75,99972.23,1.1878355
2602625787,112.90367,49.75,99976.23,1.1878829
2602650649,112.734566,49.76,99978.22,1.1879066
2602662687,112.48354,49.76,99981.22,1.1879423
2602674705,112.734566,49.76,99978.22,1.1879066
2602698676,112.98558,49.75,99975.23,1.1878711
2602710707,113.23924,49.75,99972.23,1.1878355
2602722745,113.3238,49.75,99971.23,1.1878235
2602746682,112.734566,49.76,99978.22,1.1879066
2602758133,112.90367,49.76,99976.22,1.1878829
2602769779,113.15733,49.76,99973.21,1.1878471
2602793780,112.31444,49.76,99983.22,1.187966
2602806256,113.66202,49.76,99967.21,1.1877759
2602817843,112.65265,49.76,99979.22,1.1879185
2602841755,112.90367,49.76,99976.22,1.1878829
2602854309,112.734566,49.76,99978.22,1.1879066
2602865757,112.734566,49.76,99978.22,1.1879066
2602889810,112.90367,49.76,99976.22,1.1878829
2602901937,113.15733,49.76,99973.21,1.1878471
2602913818,113.49291,49.76,99969.22,1.1877997
2602937673,113.49291,49.76,99969.22,1.1877997
2602950215,112.90367,49.76,99976.22,1.1878829
2602961819,113.91304,49.76,99964.22,1.1877403
2602985731,113.15733,49.75,99973.22,1.1878473
2602998330,112.65001,49.75,99979.23,1.1879185
