timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,high_latency_data_link_active,data_link_lost_counter,engine_failure,mission_failure
4579212347,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4580220455,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4581229941,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4582241635,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4583252641,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4584261009,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4585262839,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4586266261,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4587273700,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4588284347,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4589287625,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4590299117,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4591302206,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4592305916,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4593312815,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
4594323761,3080239,2162703,3080239,3,2,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0,0
